table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
8024,r001,All institutions,All institutions,,1,-,"['36,510,431', '']","['39,648,595', '']","['38,939,996', '']","['38,264,373', '']","['36,824,264', '']","['36,775,605', '']","['37,676,152', '']","['39,032,870', '']","['40,613,346', '']","['43,218,658', '']","['44,878,387', '']","['47,778,518', '']"
8024,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,731,818', '']","['1,875,410', '']","['1,845,845', '']","['1,881,959', '']","['1,936,953', '']","['1,988,993', '']","['2,100,097', '']","['2,173,734', '']","['2,246,705', '']","['2,479,371', '']","['2,679,737', '']","['2,772,522', '']"
8024,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['809,433', '']","['921,399', '']","['876,941', '']","['869,623', '']","['849,713', '']","['851,573', '']","['893,050', '']","['912,856', '']","['955,518', '']","['958,103', '']","['987,195', '']","['1,000,152', '']"
8024,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['729,779', '']","['801,194', '']","['773,766', '']","['802,114', '']","['733,779', '']","['728,712', '']","['780,080', '']","['822,436', '']","['841,158', '']","['879,954', '']","['877,379', '']","['882,167', '']"
8024,r005,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,4,"['370,532', '']","['426,088', '']","['482,349', '']","['520,754', '']","['510,422', '']","['548,063', '']","['567,100', '']","['578,107', '']","['646,317', '']","['708,682', '']","['780,894', '']","['838,185', '']"
8024,r006,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,5,"['561,531', '']","['634,973', '']","['631,961', '']","['619,557', '']","['591,523', '']","['577,833', '']","['585,578', '']","['632,994', '']","['673,792', '']","['724,232', '']","['743,915', '']","['804,534', '']"
8024,r007,All institutions -> Stanford U.,All institutions,Stanford U.,2,6,"['576,553', '']","['633,287', '']","['607,578', '']","['625,144', '']","['608,342', '']","['645,633', '']","['668,578', '']","['684,928', '']","['685,871', '']","['713,688', '']","['725,942', '']","['785,118', '']"
8024,r008,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,7,"['626,816', '']","['689,571', '']","['656,425', '']","['623,939', '']","['606,115', '']","['597,791', '']","['638,336', '']","['653,405', '']","['671,796', '']","['702,747', '']","['705,791', '']","['776,072', '']"
8024,r009,All institutions -> Duke U.,All institutions,Duke U.,2,8,"['513,469', '']","['584,161', '']","['585,636', '']","['580,416', '']","['556,847', '']","['558,566', '']","['574,738', '']","['622,174', '']","['644,179', '']","['708,544', '']","['706,023', '']","['775,046', '']"
8024,r010,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,9,"['578,889', '']","['635,223', '']","['653,549', '']","['630,009', '']","['597,270', '']","['601,184', '']","['602,336', '']","['639,643', '']","['634,676', '']","['698,138', '']","['726,536', '']","['773,484', '']"
8024,r011,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,10,"['541,910', '']","['592,541', '']","['597,629', '']","['614,627', '']","['601,933', '']","['577,574', '']","['624,131', '']","['657,879', '']","['681,581', '']","['701,623', '']","['685,851', '']","['727,045', '']"
8024,r012,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,11,"['581,148', '']","['647,060', '']","['620,070', '']","['601,358', '']","['565,409', '']","['554,658', '']","['575,281', '']","['612,754', '']","['643,129', '']","['671,380', '']","['682,715', '']","['719,750', '']"
8024,r013,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,12,"['522,423', '']","['545,882', '']","['527,899', '']","['489,820', '']","['458,157', '']","['482,771', '']","['479,718', '']","['479,799', '']","['557,986', '']","['587,740', '']","['642,219', '']","['706,193', '']"
8024,r014,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,13,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['678,126', '']","['669,023', '']","['693,294', '']"
